TopicId,TopicNAme,NULL,NULL
1LM,1st Law of Motion,NULL,NULL
2LM,2nd Law of Motion,NULL,NULL
3LM,Third Law of Motion,NULL,NULL
ACC,Acceleration,NULL,NULL
AIS,Audible and Inaudible Sounds,NULL,NULL
ALE,Algebraic Identities ,NULL,NULL
ALF,Algebraic Methods of solving a pair of linear equation,NULL,NULL
ANG,Angles and its characteristic ,NULL,NULL
ANH,Angles sum property,NULL,NULL
ANI,Angles Sum property of Triangle,NULL,NULL
ANJ,Angle sum property of a Quadrilaterals,NULL,NULL
ANL,Angle subtends by Arc of a Circle,NULL,NULL
AOU,Applications of Ultrasound,NULL,NULL
APM,Application of Bar Graphs,NULL,NULL
APN,Applications of Simple Equations,NULL,NULL
APO,Application of Area and Perimeter,NULL,NULL
APP,Application of Compound Interest,NULL,NULL
APQ,Application of Graphs,NULL,NULL
ARA,Area of Triangle,NULL,NULL
ARB,Area of segment of a Circle,NULL,NULL
ARC,Area of segment of a Circle,NULL,NULL
ARD,Area of combination of Plane Figures,NULL,NULL
ARE,Area and Volume,NULL,NULL
ARF,Arithmetic Mean,NULL,NULL
ARG,Area of Quadrilateral,NULL,NULL
ARH,Area of Triangle,NULL,NULL
ARM,Attraction and Replusion by Magnet,NULL,NULL
ARP,Archimede's Principle,NULL,NULL
ARR,Area of Square and Rectangle ,NULL,NULL
ARS,Area of Triangle using Parts of Rectangle,NULL,NULL
ART,Area of Parallelogram,NULL,NULL
ARU,Area of Triangle ,NULL,NULL
ARV,Areas of standard Figures,NULL,NULL
ARW,Area of trapezium,NULL,NULL
ARX,Area of General Quadrilateral,NULL,NULL
ARY,Area of  Standard  Solid Shapes,NULL,NULL
ARZ,Area of Similar Triangle,NULL,NULL
ASA,Addition and Subtraction On Number Line,NULL,NULL
ASB,Addition and Subtraction of Fractions,NULL,NULL
ASC,Addition and Subtraction of Decimals,NULL,NULL
ASD,Addition and Subtraction of Algebraic Expressions,NULL,NULL
ASK,Angle subtends by Chord of circle,NULL,NULL
ATF,"Amplitude, Time Period and Frequency",NULL,NULL
ATP,Atmpospheric Pressure,NULL,NULL
BAC,Bulb and Electric Cell,NULL,NULL
BAI,Bar Graph,NULL,NULL
BRS,Braille System,NULL,NULL
BUF,Balanced & Unbalanced Forces,NULL,NULL
BUY,Buoyancy,NULL,NULL
