Class+subject+stream,CHAPTER CODE,class+subject+stream+chapter,NULL,NULL
C08PhEM,CEC,C08PhEMCEC,NULL,NULL
C06PhEM,EAC,C06PhEMEAC,NULL,NULL
C07PhEM,ECI,C07PhEMECI,NULL,NULL
C10PhEM,ELC,C10PhEMELC,NULL,NULL
C09PhME,FOR,C09PhMEFOR,NULL,NULL
C08PhME,FRN,C08PhMEFRN,NULL,NULL
C08PhME,FRP,C08PhMEFRP,NULL,NULL
C06PhEM,FWM,C06PhEMFWM,NULL,NULL
C09PhME,GRV,C09PhMEGRV,NULL,NULL
C07PhHE,HET,C07PhHEHET,NULL,NULL
C10PhLT,HEY,C10PhLTHEY,NULL,NULL
C07PhLT,LIT,C07PhLTLIT,NULL,NULL
C10PhLT,LRR,C10PhLTLRR,NULL,NULL
C06PhLT,LSR,C06PhLTLSR,NULL,NULL
C10PhEM,MEC,C10PhEMMEC,NULL,NULL
C06PhME,MMD,C06PhMEMMD,NULL,NULL
C09PhME,REM,C09PhMEREM,NULL,NULL
C08PhUN,SAS,C08PhUNSAS,NULL,NULL
C08PhME,SND,C08PhMESND,NULL,NULL
C08PhEM,SNP,C08PhEMSNP,NULL,NULL
C10PhHE,SOE,C10PhHESOE,NULL,NULL
C09PhME,SOU,C09PhMESOU,NULL,NULL
C09PhME,WPE,C09PhMEWPE,NULL,NULL
C06MaNS,KTM,C06MaNSKTM,NULL,NULL
C06MaNS,WHN,C06MaNSWHN,NULL,NULL
C06MaNS,PWN,C06MaNSPWN,NULL,NULL
C06MaGE,BGI,C06MaGEBGI,NULL,NULL
C06MaGE,UES,C06MaGEUES,NULL,NULL
C06MaNS,INT,C06MaNSINT,NULL,NULL
C06MaNS,FRA,C06MaNSFRA,NULL,NULL
C06MaNS,DEC,C06MaNSDEC,NULL,NULL
C06MaST,DHA,C06MaSTDHA,NULL,NULL
C06MaME,MEN,C06MaMEMEN,NULL,NULL
C06MaAL,ITA,C06MaALITA,NULL,NULL
C06MaNS,RAP,C06MaNSRAP,NULL,NULL
C06MaGE,SYM,C06MaGESYM,NULL,NULL
C06MaGE,PGE,C06MaGEPGE,NULL,NULL
C07MaNS,INT,C07MaNSINT,NULL,NULL
C07MaNS,FAD,C07MaNSFAD,NULL,NULL
C07MaST,DHA,C07MaSTDHA,NULL,NULL
C07MaAL,SEQ,C07MaALSEQ,NULL,NULL
C07MaGE,LAA,C07MaGELAA,NULL,NULL
C07MaGE,TRI,C07MaGETRI,NULL,NULL
C07MaGE,COT,C07MaGECOT,NULL,NULL
C07MaNS,COM,C07MaNSCOM,NULL,NULL
C07MaNS,RNU,C07MaNSRNU,NULL,NULL
C07MaGE,PGE,C07MaGEPGE,NULL,NULL
C07MaME,PAA,C07MaMEPAA,NULL,NULL
C07MaAL,AEX,C07MaALAEX,NULL,NULL
C07MaNS,EAP,C07MaNSEAP,NULL,NULL
C07MaGE,SYM,C07MaGESYM,NULL,NULL
C07MaGE,VSS,C07MaGEVSS,NULL,NULL
C08MaNS,RNU,C08MaNSRNU,NULL,NULL
C08MaAL,LEO,C08MaALLEO,NULL,NULL
C08MaGE,UQU,C08MaGEUQU,NULL,NULL
C08MaGE,PGE,C08MaGEPGE,NULL,NULL
C08MaST,DHA,C08MaSTDHA,NULL,NULL
C08MaNS,SSR,C08MaNSSSR,NULL,NULL
C08MaNS,CCR,C08MaNSCCR,NULL,NULL
C08MaNS,COM,C08MaNSCOM,NULL,NULL
C08MaAL,AEI,C08MaALAEI,NULL,NULL
C08MaGE,VSS,C08MaGEVSS,NULL,NULL
C08MaME,MEN,C08MaMEMEN,NULL,NULL
C08MaNS,EAP,C08MaNSEAP,NULL,NULL
C08MaNS,DIP,C08MaNSDIP,NULL,NULL
C08MaAL,FAC,C08MaALFAC,NULL,NULL
C08MaCG,ITG,C08MaCGITG,NULL,NULL
C08MaNS,PWN,C08MaNSPWN,NULL,NULL
C09MaNS,NSY,C09MaNSNSY,NULL,NULL
C09MaAL,POL,C09MaALPOL,NULL,NULL
C09MaCG,CGE,C09MaCGCGE,NULL,NULL
C09MaAL,LET,C09MaALLET,NULL,NULL
C09MaGE,EGE,C09MaGEEGE,NULL,NULL
C09MaGE,LAA,C09MaGELAA,NULL,NULL
C09MaGE,TRI,C09MaGETRI,NULL,NULL
C09MaGE,QUA,C09MaGEQUA,NULL,NULL
C09MaGE,ATP,C09MaGEATP,NULL,NULL
C09MaGE,CIR,C09MaGECIR,NULL,NULL
