class+SubjectCode,StremCode,class+SubjectCodeStremCode,,
C06Ph,EM,C06PhEM,NULL,NULL
C06Ph,LT,C06PhLT,NULL,NULL
C06Ph,ME,C06PhME,NULL,NULL
C07Ph,EM,C07PhEM,NULL,NULL
C07Ph,HE,C07PhHE,NULL,NULL
C07Ph,LT,C07PhLT,NULL,NULL
C07Ph,ME,C07PhME,NULL,NULL
C08Ph,EM,C08PhEM,NULL,NULL
C08Ph,ME,C08PhME,NULL,NULL
C08Ph,LT,C08PhLT,NULL,NULL
C08Ph,UN,C08PhUN,NULL,NULL
C09Ph,ME,C09PhME,NULL,NULL
C10Ph,EM,C10PhEM,NULL,NULL
C10Ph,LT,C10PhLT,NULL,NULL
C10Ph,HE,C10PhHE,NULL,NULL
C06Ma,NS,C06MaNS,NULL,NULL
C06Ma,GE,C06MaGE,NULL,NULL
C06Ma,ST,C06MaST,NULL,NULL
C06Ma,ME,C06MaME,NULL,NULL
C06Ma,AL,C06MaAL,NULL,NULL
C07Ma,NS,C07MaNS,NULL,NULL
C07Ma,ST,C07MaST,NULL,NULL
C07Ma,AL,C07MaAL,NULL,NULL
C07Ma,GE,C07MaGE,NULL,NULL
C07Ma,ME,C07MaME,NULL,NULL
C08Ma,NS,C08MaNS,NULL,NULL
C08Ma,AL,C08MaAL,NULL,NULL
C08Ma,GE,C08MaGE,NULL,NULL
C08Ma,ST,C08MaST,NULL,NULL
C08Ma,ME,C08MaME,NULL,NULL
C08Ma,CG,C08MaCG,NULL,NULL
C09Ma,NS,C09MaNS,NULL,NULL
C09Ma,AL,C09MaAL,NULL,NULL
C09Ma,CG,C09MaCG,NULL,NULL
C09Ma,GE,C09MaGE,NULL,NULL
C09Ma,ME,C09MaME,NULL,NULL
C09Ma,ST,C09MaST,NULL,NULL
C10Ma,NS,C10MaNS,NULL,NULL
C10Ma,AL,C10MaAL,NULL,NULL
C10Ma,GE,C10MaGE,NULL,NULL
C10Ma,CG,C10MaCG,NULL,NULL
C10Ma,TR,C10MaTR,NULL,NULL
C10Ma,ME,C10MaME,NULL,NULL
C10Ma,ST,C10MaST,NULL,NULL
